Name|Houndoom2
Number|801
ExperienceType|3
BaseExperience|900
Type1|Dark
Type2|Fire
CatchRate|0
BaseFriendship|1
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|228
IsGenderLess|1
IsMale|0.0
Ability1|46
Ability2|Nothing
Machines|15
BaseHP|500
BaseAttack|50
BaseDefense|1000
BaseSpAttack|50
BaseSpDefense|100
BaseSpeed|95
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|2
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|A Houndoom Tested by the Virad\Altered Pokémon\35\1.4\0,148,0
Scale|1.16
Move|15,15
TradeValue|30
